id;name;manufacturer;category;price;stock
1;onto oh;worth austere;however for;16613.18;5547
2;pace delightfully;sympathetically;near supposing swine;29779.86;17846
3;while each provided;faithfully how;before;2301.37;17458
4;swear over;lazily hmph strident;even;7066.94;2933
5;calculating emergent;passionate zowie;bonfire;32582.11;6741
6;grok;consequently discourse;vacation;19048.97;13391
7;up;wetly unwieldy;yippee gleefully right;27295.31;21267
8;pfft freely;prejudge;patiently icy;618.99;17879
9;jealously everlasting pant;tighten until an;quintessential thyme aw;6638.74;15387
10;same;sparse different instantly;oddly;3028.26;30272
