id;sale_date;invoice_number;total_amount
1;2025-12-01T19:15:40;atop but;9486.4
2;2025-12-01T23:02:22;defiantly mortally pantyhose;14310.15
3;2025-12-02T01:03:28;yuck pessimistic;8749.52
4;2025-12-02T06:14:14;apostrophize;1244.46
5;2025-12-01T21:38:28;rout;27355.87
6;2025-12-01T16:53:25;mid striking incidentally;22021.98
7;2025-12-02T10:28:03;deep valiantly;11393.31
8;2025-12-02T08:20:32;ew clear yearn;12127.14
9;2025-12-02T11:02:35;aside;25225.14
10;2025-12-01T17:45:50;safely boo provided;26638.24
