id;payment_date;payment_method;payment_status;amount_paid
1;2025-12-02T08:41:56;exotic meh;regarding owlishly purple;18826.32
2;2025-12-02T08:42:08;flashy entry;failing;27002.42
3;2025-12-01T20:04:59;sniff;peaceful;160.93
4;2025-12-01T18:46:11;squiggly since;monocle;10455.1
5;2025-12-02T09:33:29;interestingly;snow inside;282.23
6;2025-12-01T19:11:44;until controvert;upbeat fooey;17515.7
7;2025-12-02T12:11:03;out;manipulate inasmuch beneath;29794.5
8;2025-12-02T13:34:30;seafood caption;about as;17453.26
9;2025-12-01T17:58:51;voluminous revoke bah;whereas;95.62
10;2025-12-01T21:11:08;absentmindedly joyously supposing;snarling even;6361.12
